Year,ID,YoD
1999,I69,NA
1999,G51,NA
1999,G52,NA
1999,I71,NA
1999,A62,NA
1999,G53,NA
1999,G54,NA
1999,R29,NA
1999,A64,NA
1999,G58,NA
1999,A67,NA
1999,A69,NA
1999,I83,NA
1999,C23,NA
1999,D19,NA
1999,R35,NA
1999,A70,NA
1999,A72,NA
1999,D20,NA
1999,G62,NA
1999,G63,NA
1999,I90,NA
1999,I92,NA
1999,R38,NA
1999,A73,NA
1999,G64,NA
1999,G65,NA
1999,G69,NA
1999,R39,NA
1999,R40,NA
1999,A75,NA
1999,H12,NA
1999,I104,NA
1999,I96,NA
1999,R41,NA
1999,I100,NA
1999,I99,NA
1999,C26,NA
1999,R48,NA
1999,G82,NA
1999,A88,NA
1999,R52,NA
1999,A96,NA
1999,G95,NA
2000,G17,2001
2000,A08,2001
2000,G08,2001
2000,A45,2001
2000,I36,2002
2000,R02,2005
2000,G04,2006
2000,I15,2006
2000,D08,2006
2000,A59,2006
2000,C21,2007
2000,D15,2008
2000,I80,2008
2000,R07,2009
2000,G25,2009
2000,H08,2009
2000,G23,2011
2000,A51,2011
2000,A12,2012
2000,A28,2012
2000,A30,2013
2000,I11,2013
2000,C06,2013
2000,A11,2013
2000,A24,2013
2000,G29,2013
2000,G34,2013
2000,D10,2013
2000,C19,2013
2000,I82,2014
2000,I19,2015
2000,I63,2015
2000,W03,2017
2000,G49,2017
2000,B07,NA
2000,R05,NA
2000,G03,NA
2000,I17,NA
2000,G02,NA
2000,I20,NA
2000,R04,NA
2000,I22,NA
2000,R18,NA
2000,I16,NA
2000,R17,NA
2000,I12,NA
2000,I33,NA
2000,C10,NA
2000,D09,NA
2000,G20,NA
2000,H05,NA
2000,G27,NA
2000,A35,NA
2000,I13,NA
2000,I27,NA
2000,I35,NA
2000,A34,NA
2000,C08,NA
2000,D11,NA
2000,I26,NA
2000,G22,NA
2000,I21,NA
2000,R13,NA
2000,A42,NA
2000,I04,NA
2000,I24,NA
2000,I40,NA
2000,A43,NA
2000,G31,NA
2000,D12,NA
2000,I50,NA
2000,I54,NA
2000,A50,NA
2000,D13,NA
2000,G37,NA
2000,R22,NA
2000,C13,NA
2000,R23,NA
2000,I51,NA
2000,A52,NA
2000,G41,NA
2000,R24,NA
2000,H09,NA
2000,A54,NA
2000,I57,NA
2000,A56,NA
2000,D17,NA
2000,G48,NA
2000,I65,NA
2000,B14,NA
2000,G46,NA
2000,G50,NA
2000,I68,NA
2000,I69,NA
2000,G51,NA
2000,G52,NA
2000,I71,NA
2000,A62,NA
2000,G53,NA
2000,G54,NA
2000,R29,NA
2000,A64,NA
2000,G58,NA
2000,A67,NA
2000,A69,NA
2000,I83,NA
2000,C23,NA
2000,D19,NA
