Year,Indicator,Value
2012,CCHerringR_UpperCI,505.33245
2013,CCHerringR_UpperCI,214.40975
2014,CCHerringR_UpperCI,612.25265
2015,CCHerringR_UpperCI,207.88435
2016,CCHerringR_UpperCI,232.8403
2017,CCHerringR_UpperCI,312.94245
2018,CCHerringR_UpperCI,1427.2405
2019,CCHerringR_UpperCI,143.97535
2020,CCHerringR_UpperCI,704.10775
1951,SoGHerringR_Med,1143.895
1952,SoGHerringR_Med,1206.82
1953,SoGHerringR_Med,1754.26
1954,SoGHerringR_Med,1429.105
1955,SoGHerringR_Med,758.7445
1956,SoGHerringR_Med,526.3625
1957,SoGHerringR_Med,601.939
1958,SoGHerringR_Med,1132.8
1959,SoGHerringR_Med,1092.89
1960,SoGHerringR_Med,624.5675
1961,SoGHerringR_Med,1393.28
1962,SoGHerringR_Med,1335.66
1963,SoGHerringR_Med,1866.925
1964,SoGHerringR_Med,966.4315
1965,SoGHerringR_Med,726.7575
1966,SoGHerringR_Med,869.227
1967,SoGHerringR_Med,916.207
1968,SoGHerringR_Med,388.19
1969,SoGHerringR_Med,1024.615
1970,SoGHerringR_Med,1055.865
1971,SoGHerringR_Med,779.499
1972,SoGHerringR_Med,714.8365
1973,SoGHerringR_Med,800.7905
1974,SoGHerringR_Med,1060.08
1975,SoGHerringR_Med,667.6985
1976,SoGHerringR_Med,1098.69
1977,SoGHerringR_Med,863.0475
1978,SoGHerringR_Med,434.6655
1979,SoGHerringR_Med,718.9625
1980,SoGHerringR_Med,553.1435
1981,SoGHerringR_Med,553.3435
1982,SoGHerringR_Med,443.312
1983,SoGHerringR_Med,378.4295
1984,SoGHerringR_Med,702.0455
1985,SoGHerringR_Med,1371.895
1986,SoGHerringR_Med,789.1085
1987,SoGHerringR_Med,2029.775
1988,SoGHerringR_Med,662.122
1989,SoGHerringR_Med,1708.545
1990,SoGHerringR_Med,949.7605
1991,SoGHerringR_Med,2145.155
1992,SoGHerringR_Med,1501.66
1993,SoGHerringR_Med,1918.86
1994,SoGHerringR_Med,849.833
1995,SoGHerringR_Med,1658.515
1996,SoGHerringR_Med,2423.255
1997,SoGHerringR_Med,2568.325
1998,SoGHerringR_Med,1165.61
1999,SoGHerringR_Med,1726.53
2000,SoGHerringR_Med,1986.61
2001,SoGHerringR_Med,2289.855
2002,SoGHerringR_Med,2229.33
2003,SoGHerringR_Med,1276.65
2004,SoGHerringR_Med,1251.735
2005,SoGHerringR_Med,1094.26
2006,SoGHerringR_Med,1863.34
2007,SoGHerringR_Med,500.016
2008,SoGHerringR_Med,1850.605
2009,SoGHerringR_Med,384.147
2010,SoGHerringR_Med,2469.555
2011,SoGHerringR_Med,1536.305
2012,SoGHerringR_Med,864.9745
2013,SoGHerringR_Med,1545.335
2014,SoGHerringR_Med,1638.01
2015,SoGHerringR_Med,1412.005
2016,SoGHerringR_Med,1287.365
2017,SoGHerringR_Med,1354.15
2018,SoGHerringR_Med,1482.605
2019,SoGHerringR_Med,3753.78
2020,SoGHerringR_Med,2974.11
1951,SoGHerringR_LowerCI,702.74475
1952,SoGHerringR_LowerCI,723.4716
1953,SoGHerringR_LowerCI,1144.38
1954,SoGHerringR_LowerCI,971.8417
1955,SoGHerringR_LowerCI,534.7054
1956,SoGHerringR_LowerCI,364.58855
1957,SoGHerringR_LowerCI,407.2468
1958,SoGHerringR_LowerCI,831.72215
1959,SoGHerringR_LowerCI,794.5831
1960,SoGHerringR_LowerCI,433.37495
1961,SoGHerringR_LowerCI,985.99655
1962,SoGHerringR_LowerCI,942.05315
1963,SoGHerringR_LowerCI,1310.806
1964,SoGHerringR_LowerCI,642.0092
1965,SoGHerringR_LowerCI,450.8205
1966,SoGHerringR_LowerCI,489.79215
1967,SoGHerringR_LowerCI,333.2832
1968,SoGHerringR_LowerCI,142.1621
1969,SoGHerringR_LowerCI,602.20655
1970,SoGHerringR_LowerCI,694.45415
1971,SoGHerringR_LowerCI,531.31645
1972,SoGHerringR_LowerCI,487.35365
1973,SoGHerringR_LowerCI,547.7894
1974,SoGHerringR_LowerCI,740.7316
1975,SoGHerringR_LowerCI,477.6827
1976,SoGHerringR_LowerCI,780.65985
1977,SoGHerringR_LowerCI,606.10325
1978,SoGHerringR_LowerCI,294.9962
1979,SoGHerringR_LowerCI,490.5286
1980,SoGHerringR_LowerCI,387.4826
1981,SoGHerringR_LowerCI,393.72125
1982,SoGHerringR_LowerCI,311.43075
1983,SoGHerringR_LowerCI,261.4357
1984,SoGHerringR_LowerCI,490.7192
1985,SoGHerringR_LowerCI,980.9806
1986,SoGHerringR_LowerCI,582.72415
1987,SoGHerringR_LowerCI,1541.489
1988,SoGHerringR_LowerCI,507.7184
1989,SoGHerringR_LowerCI,1325.8965
1990,SoGHerringR_LowerCI,726.2883
1991,SoGHerringR_LowerCI,1685.06
1992,SoGHerringR_LowerCI,1188.0015
1993,SoGHerringR_LowerCI,1525.863
1994,SoGHerringR_LowerCI,677.72845
1995,SoGHerringR_LowerCI,1323.5095
1996,SoGHerringR_LowerCI,1920.5315
1997,SoGHerringR_LowerCI,2041.3395
1998,SoGHerringR_LowerCI,928.9184
1999,SoGHerringR_LowerCI,1380.7325
2000,SoGHerringR_LowerCI,1590.0955
2001,SoGHerringR_LowerCI,1807.7575
2002,SoGHerringR_LowerCI,1735.614
2003,SoGHerringR_LowerCI,993.73795
2004,SoGHerringR_LowerCI,984.50755
2005,SoGHerringR_LowerCI,854.4569
2006,SoGHerringR_LowerCI,1477.396
2007,SoGHerringR_LowerCI,380.35475
2008,SoGHerringR_LowerCI,1422.356
2009,SoGHerringR_LowerCI,292.10125
2010,SoGHerringR_LowerCI,1938.984
2011,SoGHerringR_LowerCI,1211.7135
2012,SoGHerringR_LowerCI,676.3019
2013,SoGHerringR_LowerCI,1200.713
2014,SoGHerringR_LowerCI,1276.6665
2015,SoGHerringR_LowerCI,1085.312
2016,SoGHerringR_LowerCI,972.7509
2017,SoGHerringR_LowerCI,1000.934
2018,SoGHerringR_LowerCI,1077.779
2019,SoGHerringR_LowerCI,2726.63
2020,SoGHerringR_LowerCI,1941.6895
1951,SoGHerringR_UpperCI,2236.164
1952,SoGHerringR_UpperCI,2175.961
1953,SoGHerringR_UpperCI,2809.0775
1954,SoGHerringR_UpperCI,2297.648
1955,SoGHerringR_UpperCI,1148.873
1956,SoGHerringR_UpperCI,783.7139
1957,SoGHerringR_UpperCI,944.379
1958,SoGHerringR_UpperCI,1656.056
1959,SoGHerringR_UpperCI,1587.6225
1960,SoGHerringR_UpperCI,928.85445
1961,SoGHerringR_UpperCI,2022.46
1962,SoGHerringR_UpperCI,1979.318
1963,SoGHerringR_UpperCI,2815.14
1964,SoGHerringR_UpperCI,1511.467
1965,SoGHerringR_UpperCI,1172.576
1966,SoGHerringR_UpperCI,1438.1655
