"","year","stock","stock_name","smolt","run","region","lat","long","agg_reg","group","survival","M"
"675","1987","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.002056423,6.18678721325103
"676","1988","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.002728703,5.90392887425212
"677","1989","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.00633717,5.06132298242649
"678","1990","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.008701407,4.74427054225961
"679","1991","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.001797495,6.32136125001411
"680","1992","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.00732422,4.91656861439054
"681","1993","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.009288623,4.6789649610393
"682","1994","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.000949756,6.95930544846453
"683","1995","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.004368054,5.43343767797859
"684","1996","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.002474348,6.00177835200984
"685","1997","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.003233406,5.73421920816665
"686","1998","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.01138126,4.47578713585063
"687","1999","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.02194193,3.81935586082071
"688","2000","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.003348948,5.69910901231361
"689","2001","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.007927575,4.83740809085859
"690","2002","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.006574643,5.02453499897037
"691","2003","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.003432372,5.67450371162198
"692","2004","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.003018749,5.80291277182639
"693","2005","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.006592075,5.0218871090125
"694","2006","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.005754129,5.15783759491743
"695","2007","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.02723676,3.60318774750635
"696","2008","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.008990255,4.71161406605105
"697","2009","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.02606903,3.64700725924716
"698","2010","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.05811077,2.84540426225154
"699","2011","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.02057371,3.88374123183293
"700","2012","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.03749626,3.28351408431281
"701","2013","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.008420555,4.77707953841086
"702","2014","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.0017464,6.35019875272854
"703","2015","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.002209416,6.11502705176722
"704","2016","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.008906162,4.72101188226378
"705","2017","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"706","1971","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"707","1972","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"708","1973","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"709","1974","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"710","1975","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"711","1976","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"712","1977","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"713","1978","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"714","1979","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"715","1980","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"716","1981","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.2396692,1.42849563974863
"717","1982","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.03804174,3.26907130102613
"718","1983","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01069239,4.53822300550088
"719","1984","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01108367,4.50228242506987
"720","1985","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01374559,4.28703723358628
"721","1986","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.07224486,2.62769409638881
"722","1987","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.02630558,3.63797419500234
"723","1988","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.108545,2.22059044544142
"724","1989","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.07207067,2.63010811357172
"725","1990","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.02195301,3.81885101902185
"726","1991","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.004025685,5.51506019625626
"727","1992","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.006471444,5.04035601144534
"728","1993","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.02045638,3.88946046470901
"729","1994","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.03781096,3.27515627129318
