"year","stock","juv_group3b","escapement"
1991,"keta","north_streamtype",0.819
1992,"keta","north_streamtype",0.653
1993,"keta","north_streamtype",1.09
1994,"keta","north_streamtype",0.921
1995,"keta","north_streamtype",0.527
1996,"keta","north_streamtype",0.894
1997,"keta","north_streamtype",0.74
1998,"keta","north_streamtype",0.446
1999,"keta","north_streamtype",0.968
2000,"keta","north_streamtype",0.914
2001,"keta","north_streamtype",1.032
2002,"keta","north_streamtype",1.237
2003,"keta","north_streamtype",0.969
2004,"keta","north_streamtype",1.132
2005,"keta","north_streamtype",1.496
2006,"keta","north_streamtype",2.248
2007,"keta","north_streamtype",0.936
2008,"keta","north_streamtype",1.093
2009,"keta","north_streamtype",0.659
2010,"keta","north_streamtype",1.43
2011,"keta","north_streamtype",0.671
2012,"keta","north_streamtype",0.725
2013,"keta","north_streamtype",1.484
2014,"keta","north_streamtype",1.484
2015,"keta","north_streamtype",1.484
2016,"keta","north_streamtype",1.484
2017,"keta","north_streamtype",1.484
2018,"keta","north_streamtype",NA
1975,"yakoun","north_streamtype",1.5
1976,"yakoun","north_streamtype",0.7
1977,"yakoun","north_streamtype",0.8
1978,"yakoun","north_streamtype",0.6
1979,"yakoun","north_streamtype",0.4
1980,"yakoun","north_streamtype",0.6
1981,"yakoun","north_streamtype",0.75
1982,"yakoun","north_streamtype",1.4
1983,"yakoun","north_streamtype",0.6
1984,"yakoun","north_streamtype",0.3
1985,"yakoun","north_streamtype",1.5
1986,"yakoun","north_streamtype",0.5
1987,"yakoun","north_streamtype",2
1988,"yakoun","north_streamtype",2
1989,"yakoun","north_streamtype",2.8
1990,"yakoun","north_streamtype",2
1991,"yakoun","north_streamtype",1.9
1992,"yakoun","north_streamtype",2
1993,"yakoun","north_streamtype",1
1994,"yakoun","north_streamtype",2
1995,"yakoun","north_streamtype",1.5
1996,"yakoun","north_streamtype",3
1997,"yakoun","north_streamtype",2.5
1998,"yakoun","north_streamtype",3
1999,"yakoun","north_streamtype",3.2
2000,"yakoun","north_streamtype",3.6
2001,"yakoun","north_streamtype",3.5
2002,"yakoun","north_streamtype",3
2003,"yakoun","north_streamtype",4
2004,"yakoun","north_streamtype",4.5
2005,"yakoun","north_streamtype",5
2006,"yakoun","north_streamtype",NA
2007,"yakoun","north_streamtype",NA
2008,"yakoun","north_streamtype",NA
