"year","stock","j_group3b","esc"
2003,"nass","north_streamtype",26940
2004,"nass","north_streamtype",15912
2005,"nass","north_streamtype",14363
2006,"nass","north_streamtype",24725
2007,"nass","north_streamtype",21459
2008,"nass","north_streamtype",17862
2009,"nass","north_streamtype",28710
2010,"nass","north_streamtype",19341
2011,"nass","north_streamtype",9639
2012,"nass","north_streamtype",9815
2013,"nass","north_streamtype",9306
2014,"nass","north_streamtype",13108
2015,"nass","north_streamtype",19465
2016,"nass","north_streamtype",10191
2017,"nass","north_streamtype",4984
2018,"nass","north_streamtype",12626
1975,"skeena","north_streamtype",20319
1976,"skeena","north_streamtype",13078
1977,"skeena","north_streamtype",29018
1978,"skeena","north_streamtype",22661
1979,"skeena","north_streamtype",18488
1980,"skeena","north_streamtype",23429
1981,"skeena","north_streamtype",24523
1982,"skeena","north_streamtype",17092
1983,"skeena","north_streamtype",23562
1984,"skeena","north_streamtype",37598
1985,"skeena","north_streamtype",53599
1986,"skeena","north_streamtype",59968
1987,"skeena","north_streamtype",59120
1988,"skeena","north_streamtype",68705
1989,"skeena","north_streamtype",57202
1990,"skeena","north_streamtype",55976
1991,"skeena","north_streamtype",52753
1992,"skeena","north_streamtype",63392
1993,"skeena","north_streamtype",66977
1994,"skeena","north_streamtype",48712
1995,"skeena","north_streamtype",34390
1996,"skeena","north_streamtype",73684
1997,"skeena","north_streamtype",42539
1998,"skeena","north_streamtype",46744
1999,"skeena","north_streamtype",43775
2000,"skeena","north_streamtype",51804
2001,"skeena","north_streamtype",81504
2002,"skeena","north_streamtype",44771
2003,"skeena","north_streamtype",56758
2004,"skeena","north_streamtype",44243
2005,"skeena","north_streamtype",29067
2006,"skeena","north_streamtype",33094
2007,"skeena","north_streamtype",33352
2008,"skeena","north_streamtype",32963
2009,"skeena","north_streamtype",38297
2010,"skeena","north_streamtype",43331
2011,"skeena","north_streamtype",37073
2012,"skeena","north_streamtype",34024
2013,"skeena","north_streamtype",26699
2014,"skeena","north_streamtype",28496
2015,"skeena","north_streamtype",41658
2016,"skeena","north_streamtype",34153
2017,"skeena","north_streamtype",11920
2018,"skeena","north_streamtype",37481
1975,"kitsumkalum","north_streamtype",NA
1976,"kitsumkalum","north_streamtype",NA
1977,"kitsumkalum","north_streamtype",NA
1978,"kitsumkalum","north_streamtype",NA
1979,"kitsumkalum","north_streamtype",NA
1980,"kitsumkalum","north_streamtype",NA
1981,"kitsumkalum","north_streamtype",NA
1982,"kitsumkalum","north_streamtype",NA
1983,"kitsumkalum","north_streamtype",NA
1984,"kitsumkalum","north_streamtype",12408
1985,"kitsumkalum","north_streamtype",8304
1986,"kitsumkalum","north_streamtype",9109
1987,"kitsumkalum","north_streamtype",23657
1988,"kitsumkalum","north_streamtype",22267
1989,"kitsumkalum","north_streamtype",17925
1990,"kitsumkalum","north_streamtype",17406
1991,"kitsumkalum","north_streamtype",9288
1992,"kitsumkalum","north_streamtype",12437
1993,"kitsumkalum","north_streamtype",14059
1994,"kitsumkalum","north_streamtype",12629
1995,"kitsumkalum","north_streamtype",7221
1996,"kitsumkalum","north_streamtype",12776
1997,"kitsumkalum","north_streamtype",5342
1998,"kitsumkalum","north_streamtype",11065
1999,"kitsumkalum","north_streamtype",9763
2000,"kitsumkalum","north_streamtype",14722
2001,"kitsumkalum","north_streamtype",23839
2002,"kitsumkalum","north_streamtype",23849
2003,"kitsumkalum","north_streamtype",23608
2004,"kitsumkalum","north_streamtype",25767
2005,"kitsumkalum","north_streamtype",15046
2006,"kitsumkalum","north_streamtype",12368
2007,"kitsumkalum","north_streamtype",15736
2008,"kitsumkalum","north_streamtype",10374
2009,"kitsumkalum","north_streamtype",10703
2010,"kitsumkalum","north_streamtype",13712
2011,"kitsumkalum","north_streamtype",12105
2012,"kitsumkalum","north_streamtype",9363
2013,"kitsumkalum","north_streamtype",10934
2014,"kitsumkalum","north_streamtype",10308
2015,"kitsumkalum","north_streamtype",14500
2016,"kitsumkalum","north_streamtype",10439
2017,"kitsumkalum","north_streamtype",4943
2018,"kitsumkalum","north_streamtype",9537
1975,"dean","north_streamtype",NA
1976,"dean","north_streamtype",NA
1977,"dean","north_streamtype",NA
1978,"dean","north_streamtype",3500
1979,"dean","north_streamtype",4000
1980,"dean","north_streamtype",2000
1981,"dean","north_streamtype",3500
1982,"dean","north_streamtype",NA
1983,"dean","north_streamtype",500
1984,"dean","north_streamtype",4500
1985,"dean","north_streamtype",4000
1986,"dean","north_streamtype",3300
1987,"dean","north_streamtype",1144
1988,"dean","north_streamtype",1300
1989,"dean","north_streamtype",2300
1990,"dean","north_streamtype",2000
1991,"dean","north_streamtype",2400
1992,"dean","north_streamtype",3000
1993,"dean","north_streamtype",700
1994,"dean","north_streamtype",1300
1995,"dean","north_streamtype",1100
1996,"dean","north_streamtype",2000
1997,"dean","north_streamtype",1400
1998,"dean","north_streamtype",3000
1999,"dean","north_streamtype",1800
2000,"dean","north_streamtype",1200
2001,"dean","north_streamtype",NA
2002,"dean","north_streamtype",NA
2003,"dean","north_streamtype",NA
2004,"dean","north_streamtype",NA
2005,"dean","north_streamtype",NA
2006,"dean","north_streamtype",NA
2007,"dean","north_streamtype",NA
2008,"dean","north_streamtype",NA
2009,"dean","north_streamtype",NA
2010,"dean","north_streamtype",NA
2011,"dean","north_streamtype",750
2012,"dean","north_streamtype",586
2013,"dean","north_streamtype",1613
2014,"dean","north_streamtype",1213
2015,"dean","north_streamtype",2470
2016,"dean","north_streamtype",1516
2017,"dean","north_streamtype",725
2018,"dean","north_streamtype",NA
1975,"wannock","north_oceantype",3000
1976,"wannock","north_oceantype",1500
1977,"wannock","north_oceantype",1400
1978,"wannock","north_oceantype",2000
1979,"wannock","north_oceantype",2000
1980,"wannock","north_oceantype",2000
1981,"wannock","north_oceantype",3000
1982,"wannock","north_oceantype",750
1983,"wannock","north_oceantype",1750
1984,"wannock","north_oceantype",750
1985,"wannock","north_oceantype",1300
1986,"wannock","north_oceantype",7000
1987,"wannock","north_oceantype",4500
1988,"wannock","north_oceantype",4000
1989,"wannock","north_oceantype",3000
1990,"wannock","north_oceantype",3500
1991,"wannock","north_oceantype",2000
1992,"wannock","north_oceantype",7500
1993,"wannock","north_oceantype",8000
1994,"wannock","north_oceantype",3500
1995,"wannock","north_oceantype",3000
1996,"wannock","north_oceantype",2500
1997,"wannock","north_oceantype",4000
1998,"wannock","north_oceantype",3500
1999,"wannock","north_oceantype",500
2000,"wannock","north_oceantype",4500
2001,"wannock","north_oceantype",3000
2002,"wannock","north_oceantype",2800
2003,"wannock","north_oceantype",1000
2004,"wannock","north_oceantype",3000
2005,"wannock","north_oceantype",4500
2006,"wannock","north_oceantype",3000
2007,"wannock","north_oceantype",4500
2008,"wannock","north_oceantype",5000
2009,"wannock","north_oceantype",3800
2010,"wannock","north_oceantype",4000
2011,"wannock","north_oceantype",4200
2012,"wannock","north_oceantype",3800
2013,"wannock","north_oceantype",4000
2014,"wannock","north_oceantype",NA
2015,"wannock","north_oceantype",5054
2016,"wannock","north_oceantype",NA
2017,"wannock","north_oceantype",NA
2018,"wannock","north_oceantype",NA
1975,"chuckwalla","north_streamtype",150
1976,"chuckwalla","north_streamtype",100
1977,"chuckwalla","north_streamtype",550
1978,"chuckwalla","north_streamtype",500
1979,"chuckwalla","north_streamtype",50
1980,"chuckwalla","north_streamtype",1
1981,"chuckwalla","north_streamtype",100
1982,"chuckwalla","north_streamtype",950
1983,"chuckwalla","north_streamtype",1400
1984,"chuckwalla","north_streamtype",575
1985,"chuckwalla","north_streamtype",340
1986,"chuckwalla","north_streamtype",175
1987,"chuckwalla","north_streamtype",700
1988,"chuckwalla","north_streamtype",375
1989,"chuckwalla","north_streamtype",48
1990,"chuckwalla","north_streamtype",120
